date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:34	221779/221779	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2007:44:31%20GMT	https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/clutch9ab2.html	(from )
15:45:34	123/123	---MCZ	200	added ('OK')	text/plain	etag:W/%222e79d9b790073639ec91e8daab20ea7c%22	https://apps.nakeddev.com/robots.txt		(from )
15:45:35	703/703	---M--	200	added ('OK')	image/png	etag:%228e24a18325d95d6ea5b7842931ac53e9%22	https://apps.nakeddev.com/hubfs/Untitled%20design%20(1).png	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hubfs/Untitled%20design%20(1).png	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:35	60603/60603	---MCZ	200	added ('OK')	text/css	etag:W/%22c6718f2cb0d3d8bdb8040f11d6fa7397%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/template_assets/131821097813/1708386445378/sr-theme-free_copy/css/bootstrap.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/template_assets/131821097813/1708386445378/sr-theme-free_copy/css/bootstrap.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:35	626/626	---MCZ	200	added ('OK')	text/css	etag:W/%220afcac9043578fe1b23e7c8e394b2338%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/template_assets/135387643257/1708386438487/sr-theme-free_copy/child.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/template_assets/135387643257/1708386438487/sr-theme-free_copy/child.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:35	153/153	---MCZ	200	added ('OK')	text/css	etag:W/%22a6da24d04f614ada036147cb614f4a90%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136721250933/1695800703926/module_136721250933_Header.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136721250933/1695800703926/module_136721250933_Header.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:35	2339/2339	---MCZ	200	added ('OK')	text/css	etag:W/%22939db22a6aba54cf5ffd1af7d1cdbb30%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136400805796/1712500519523/module_136400805796_Banner_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136400805796/1712500519523/module_136400805796_Banner_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:36	1251/1251	---MCZ	200	added ('OK')	text/css	etag:W/%22bffa356e01b6ee99ac957d03e9279882%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136427724442/1695733156588/module_136427724442_Multiple_App_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136427724442/1695733156588/module_136427724442_Multiple_App_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:36	796/796	---MCZ	200	added ('OK')	text/css	etag:W/%22f7963118bb404e54d06498139b10599c%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136542760758/1712500703744/module_136542760758_Testimonial_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136542760758/1712500703744/module_136542760758_Testimonial_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:36	1269/1269	---MCZ	200	added ('OK')	text/css	etag:W/%22d34337a24f2c5e93754339181e750948%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136436803216/1712501562275/module_136436803216_Multiple_Brands_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136436803216/1712501562275/module_136436803216_Multiple_Brands_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:36	1487/1487	---MCZ	200	added ('OK')	text/css	etag:W/%2243f7a4560156df9ba268638a3d4ec8b0%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136546121514/1696402916100/module_136546121514_Full_Width_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136546121514/1696402916100/module_136546121514_Full_Width_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:36	1772/1772	---MCZ	200	added ('OK')	text/css	etag:W/%22434d37ee2aaa827fae685def08e8ccac%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136550089228/1712501172764/module_136550089228_Four_Block_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136550089228/1712501172764/module_136550089228_Four_Block_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:37	1650/1650	---MCZ	200	added ('OK')	text/css	etag:W/%22e8a6b53ef4526bf4bb289e20e6a0b2b2%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136552478326/1696414021484/module_136552478326_Full_Width_Image_Content_Module.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136552478326/1696414021484/module_136552478326_Full_Width_Image_Content_Module.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:37	695/695	---MCZ	200	added ('OK')	text/css	etag:W/%223101832b3c2037526c3d00303e2690a3%22	https://apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136709482838/1695799141339/module_136709482838_Footer.min.css	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/hs-fs/hub/43674467/hub_generated/module_assets/136709482838/1695799141339/module_136709482838_Footer.min.css	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:37	10844/10844	---M--	200	added ('OK')	font/woff2	etag:%2258f532382e2e131f2ef4c58d960b991d%22	https://apps.nakeddev.com/_hcms/googlefonts/Poppins/regular.woff2	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Poppins/regular.woff2	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:38	14512/14512	---M--	200	added ('OK')	font/woff	etag:%22df3c9d0846e667ade392f34597c615f1%22	https://apps.nakeddev.com/_hcms/googlefonts/Poppins/regular.woff	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Poppins/regular.woff	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:38	10972/10972	---M--	200	added ('OK')	font/woff2	etag:%2209f0cd52728293c7d1b1c9a90b79ccbb%22	https://apps.nakeddev.com/_hcms/googlefonts/Poppins/600.woff2	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Poppins/600.woff2	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:39	14552/14552	---M--	200	added ('OK')	font/woff	etag:%2218934b7acac029fce0aba123c2560091%22	https://apps.nakeddev.com/_hcms/googlefonts/Poppins/600.woff	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Poppins/600.woff	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:39	10800/10800	---M--	200	added ('OK')	font/woff2	etag:%22222f4f2acf92f7eed5763c9ec51d7ca5%22	https://apps.nakeddev.com/_hcms/googlefonts/Poppins/300.woff2	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Poppins/300.woff2	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:40	14444/14444	---M--	200	added ('OK')	font/woff	etag:%22895ef038ecb17003b6423735877a42ca%22	https://apps.nakeddev.com/_hcms/googlefonts/Poppins/300.woff	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Poppins/300.woff	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:40	39628/39628	---M--	200	added ('OK')	font/woff2	etag:%22da5f91039dafa3ef845164c1a163a26f%22	https://apps.nakeddev.com/_hcms/googlefonts/Montserrat/regular.woff2	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Montserrat/regular.woff2	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:40	50552/50552	---M--	200	added ('OK')	font/woff	etag:%2278893f4e88abe49cb504b27fbc228896%22	https://apps.nakeddev.com/_hcms/googlefonts/Montserrat/regular.woff	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Montserrat/regular.woff	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:40	40044/40044	---M--	200	added ('OK')	font/woff2	etag:%22951e772b2e91d2573476f7e0e5662fae%22	https://apps.nakeddev.com/_hcms/googlefonts/Montserrat/600.woff2	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Montserrat/600.woff2	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:41	50620/50620	---M--	200	added ('OK')	font/woff	etag:%223695e4cd96a20916ded44fb6fe6fc7aa%22	https://apps.nakeddev.com/_hcms/googlefonts/Montserrat/600.woff	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/_hcms/googlefonts/Montserrat/600.woff	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
15:45:41	221779/221779	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2007:44:31%20GMT	https://apps.nakeddev.com/clutch	D:/My%20Sites/HTTracker/Code/apps.nakeddev.com/clutch.html	(from https://apps.nakeddev.com/clutch?utm_medium=referral_profile&utm_source=clutch.co)
